"Table 6. Regional Price Parities by Metropolitan Area, 2018",,,,
, Regional price parities ,,,
"Riverside-San Bernardino-Ontario, CA",107,98.7,119.4,107.5
"Roanoke, VA",90.5,96.8,75,94.6
"Rochester, MN",93.3,94.9,92.6,91.9
"Rochester, NY",97.7,98.7,91.9,99.9
"Rockford, IL",87.6,96,68.9,91.5
"Rocky Mount, NC",84.6,97.5,53.3,94.6
"Rome, GA",82.8,92.1,58.8,94.5
"Sacramento-Roseville-Folsom, CA",103.6,96.3,122.6,102
"Saginaw, MI",87.1,96,65.3,91.5
"St. Cloud, MN",90.9,95.3,80.7,92.3
"St. George, UT",94.6,98.8,89.7,93.6
"St. Joseph, MO-KS",85.3,95.1,59.7,92.1
"St. Louis, MO-IL",91,95.2,81.8,91.3
"Salem, OR",97.9,100.2,94.7,97.3
"Salinas, CA",109.7,96.3,156.1,102
"Salisbury, MD-DE",88.9,92.1,78.5,94.6
"Salt Lake City, UT",98.7,93.7,107.1,100.1
"San Angelo, TX",92,97.2,82.6,92.6
"San Antonio-New Braunfels, TX",93.9,97.1,90.7,92.6
"San Diego-Chula Vista-Carlsbad, CA",116.4,98.7,170,108.3
"San Francisco-Oakland-Berkeley, CA",131.6,113.2,199.5,115.4
"San Jose-Sunnyvale-Santa Clara, CA",129.4,110.1,221.3,112.3
"San Luis Obispo-Paso Robles, CA",108.7,96.3,149.1,102
"Santa Cruz-Watsonville, CA",125.5,110.3,176.9,112.6
"Santa Fe, NM",97.8,93.5,102.9,100.4
"Santa Maria-Santa Barbara, CA",111.2,96.3,171,102
"Santa Rosa-Petaluma, CA",122.5,110.3,159.9,112.6
"Savannah, GA",94.4,97.5,88.7,94.6
"Scranton--Wilkes-Barre, PA",92,98.7,70.4,99.9
"Seattle-Tacoma-Bellevue, WA",112.9,107.5,143.8,103.7
"Sebastian-Vero Beach, FL",92.7,92.1,91.4,94.6
"Sebring-Avon Park, FL",85.7,92.1,70.1,94.6
"Sheboygan, WI",88.8,96,71.1,91.5
"Sherman-Denison, TX",91.3,97.4,79.4,92.6
"Shreveport-Bossier City, LA",88.2,97.2,70.3,92.6
"Sierra Vista-Douglas, AZ",88.8,98.8,71.1,93.6
"Sioux City, IA-NE-SD",88.6,95,70,92.1
"Sioux Falls, SD",91.3,95.2,82.2,92.3
"South Bend-Mishawaka, IN-MI",88,95.8,70.1,91.3
"Spartanburg, SC",89.5,97.5,69,94.6
"Spokane-Spokane Valley, WA",95.8,96.9,85.8,101.3
"Springfield, IL",90,96,74.3,91.5
"Springfield, MA",97.3,98.7,88.1,102.7
"Springfield, MO",86.3,95.2,65.1,92.2
"Springfield, OH",85.6,96,60.9,91.5
"State College, PA",101.4,98.7,109.2,99.9
"Staunton, VA",86,92.1,70.4,94.6
"Stockton, CA",100.7,96.3,107.4,102
"Sumter, SC",85.3,95.1,57.8,94.8
"Syracuse, NY",96.5,98.7,87,99.9
"Tallahassee, FL",93.4,97.1,85.5,94.6
"Tampa-St. Petersburg-Clearwater, FL",99,94,105.1,101.1
=======
"Portland-South Portland, ME",103.2,99.0,111.5,103.0
"Portland-Vancouver-Hillsboro, OR-WA",103.8,100.2,124.7,97.3
"Port St. Lucie, FL",98.0,97.5,103.9,94.6
"Poughkeepsie-Newburgh-Middletown, NY",117.1,109.8,126.8,117.3
"Prescott Valley-Prescott, AZ",95.1,98.8,91.2,93.6
"Providence-Warwick, RI-MA",99.9,99.4,95.4,103.5
"Provo-Orem, UT",96.3,93.6,96.0,100.3
"Pueblo, CO",90.1,93.5,72.9,100.4
"Punta Gorda, FL",96.4,97.5,97.1,94.6
"Racine, WI",92.4,96.0,81.8,94.8
"Raleigh-Cary, NC",96.6,97.5,98.7,94.6
"Rapid City, SD",89.1,95.0,75.0,92.1
"Reading, PA",96.3,98.7,86.2,99.9
"Redding, CA",97.0,96.3,92.0,102.0
"Reno, NV",98.3,93.6,105.0,100.3
"Richmond, VA",96.1,97.4,96.4,94.6
"Riverside-San Bernardino-Ontario, CA",107.0,98.7,119.4,107.5
"Roanoke, VA",90.5,96.8,75.0,94.6
"Rochester, MN",93.3,94.9,92.6,91.9
"Rochester, NY",97.7,98.7,91.9,99.9
"Rockford, IL",87.6,96.0,68.9,91.5
"Rocky Mount, NC",84.6,97.5,53.3,94.6
"Rome, GA",82.8,92.1,58.8,94.5
"Sacramento-Roseville-Folsom, CA",103.6,96.3,122.6,102.0
"Saginaw, MI",87.1,96.0,65.3,91.5
"St. Cloud, MN",90.9,95.3,80.7,92.3
"St. George, UT",94.6,98.8,89.7,93.6
"St. Joseph, MO-KS",85.3,95.1,59.7,92.1
"St. Louis, MO-IL",91.0,95.2,81.8,91.3
"Salem, OR",97.9,100.2,94.7,97.3
"Salinas, CA",109.7,96.3,156.1,102.0
"Salisbury, MD-DE",88.9,92.1,78.5,94.6
"Salt Lake City, UT",98.7,93.7,107.1,100.1
"San Angelo, TX",92.0,97.2,82.6,92.6
"San Antonio-New Braunfels, TX",93.9,97.1,90.7,92.6
"San Diego-Chula Vista-Carlsbad, CA",116.4,98.7,170.0,108.3
"San Francisco-Oakland-Berkeley, CA",131.6,113.2,199.5,115.4
"San Jose-Sunnyvale-Santa Clara, CA",129.4,110.1,221.3,112.3
"San Luis Obispo-Paso Robles, CA",108.7,96.3,149.1,102.0
"Santa Cruz-Watsonville, CA",125.5,110.3,176.9,112.6
"Santa Fe, NM",97.8,93.5,102.9,100.4
"Santa Maria-Santa Barbara, CA",111.2,96.3,171.0,102.0
"Santa Rosa-Petaluma, CA",122.5,110.3,159.9,112.6
"Savannah, GA",94.4,97.5,88.7,94.6
"Scranton--Wilkes-Barre, PA",92.0,98.7,70.4,99.9
"Seattle-Tacoma-Bellevue, WA",112.9,107.5,143.8,103.7
"Sebastian-Vero Beach, FL",92.7,92.1,91.4,94.6
"Sebring-Avon Park, FL",85.7,92.1,70.1,94.6
"Sheboygan, WI",88.8,96.0,71.1,91.5
"Sherman-Denison, TX",91.3,97.4,79.4,92.6
"Shreveport-Bossier City, LA",88.2,97.2,70.3,92.6
"Sierra Vista-Douglas, AZ",88.8,98.8,71.1,93.6
"Sioux City, IA-NE-SD",88.6,95.0,70.0,92.1
"Sioux Falls, SD",91.3,95.2,82.2,92.3
"South Bend-Mishawaka, IN-MI",88.0,95.8,70.1,91.3
"Spartanburg, SC",89.5,97.5,69.0,94.6
"Spokane-Spokane Valley, WA",95.8,96.9,85.8,101.3
"Springfield, IL",90.0,96.0,74.3,91.5
"Springfield, MA",97.3,98.7,88.1,102.7
"Springfield, MO",86.3,95.2,65.1,92.2
"Springfield, OH",85.6,96.0,60.9,91.5
"State College, PA",101.4,98.7,109.2,99.9
"Staunton, VA",86.0,92.1,70.4,94.6
"Stockton, CA",100.7,96.3,107.4,102.0
"Sumter, SC",85.3,95.1,57.8,94.8
"Syracuse, NY",96.5,98.7,87.0,99.9
"Tallahassee, FL",93.4,97.1,85.5,94.6
"Tampa-St. Petersburg-Clearwater, FL",99.0,94.0,105.1,101.1
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
"Terre Haute, IN",86.3,95.7,62.3,91.2
"Texarkana, TX-AR",86.1,96.3,60.6,92.7
"The Villages, FL",94.1,92.1,95.4,94.6
"Toledo, OH",86.8,95.9,64.9,91.4
<<<<<<< HEAD
"Topeka, KS",88.5,95,71.2,92
=======
"Topeka, KS",88.5,95.0,71.2,92.0
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
"Trenton-Princeton, NJ",108.6,100.7,119.8,111.2
"Tucson, AZ",93.9,93.5,86.5,100.4
"Tulsa, OK",89.6,97.2,72.9,92.6
"Tuscaloosa, AL",87.1,96.3,65.6,91.9
"Twin Falls, ID",89.8,98.8,72.4,93.6
"Tyler, TX",92.7,97.4,84.8,92.6
"Urban Honolulu, HI",124.2,115.1,171.5,106.3
"Utica-Rome, NY",93.2,98.7,74.4,99.9
<<<<<<< HEAD
"Valdosta, GA",83.3,92.1,63,94.5
"Vallejo, CA",119.5,110.3,143.7,112.6
"Victoria, TX",92.9,97.1,86.1,92.6
"Vineland-Bridgeton, NJ",98.5,100.9,86.8,104
"Virginia Beach-Norfolk-Newport News, VA-NC",97,97.3,100.2,94.6
"Visalia, CA",94.2,96.3,80.8,102
"Waco, TX",89.7,96.8,74.8,92.6
"Walla Walla, WA",96.5,101.5,88.9,95.8
"Warner Robins, GA",89.1,97.5,69.3,94.6
"Washington-Arlington-Alexandria, DC-VA-MD-WV",117.8,104.4,162.3,109
"Waterloo-Cedar Falls, IA",89.6,94.9,75.5,92
"Watertown-Fort Drum, NY",98.2,98.7,95.4,99.9
"Wausau-Weston, WI",89.1,95.8,71.6,91.3
"Weirton-Steubenville, WV-OH",84.1,95.4,51.9,92.9
"Wenatchee, WA",99,101.5,99.1,95.8
"Wheeling, WV-OH",85,97.5,54.3,94.6
"Wichita, KS",88.6,95.2,71,92.3
"Wichita Falls, TX",87.6,97.1,68.6,92.6
"Williamsport, PA",92.2,98.7,72.1,99.9
"Wilmington, NC",93.6,96.8,87.5,94.7
"Winchester, VA-WV",92.9,92.1,92,94.5
"Winston-Salem, NC",88.8,97.5,66.9,94.6
"Worcester, MA-CT",103.3,101.7,100.5,106.7
"Yakima, WA",93.5,96.3,76.9,102
"York-Hanover, PA",96.5,98.7,86.8,99.9
"Youngstown-Warren-Boardman, OH-PA",86.1,96.4,59.8,93.3
"Yuba City, CA",96.4,96.3,89.6,102
=======
"Valdosta, GA",83.3,92.1,63.0,94.5
"Vallejo, CA",119.5,110.3,143.7,112.6
"Victoria, TX",92.9,97.1,86.1,92.6
"Vineland-Bridgeton, NJ",98.5,100.9,86.8,104.0
"Virginia Beach-Norfolk-Newport News, VA-NC",97.0,97.3,100.2,94.6
"Visalia, CA",94.2,96.3,80.8,102.0
"Waco, TX",89.7,96.8,74.8,92.6
"Walla Walla, WA",96.5,101.5,88.9,95.8
"Warner Robins, GA",89.1,97.5,69.3,94.6
"Washington-Arlington-Alexandria, DC-VA-MD-WV",117.8,104.4,162.3,109.0
"Waterloo-Cedar Falls, IA",89.6,94.9,75.5,92.0
"Watertown-Fort Drum, NY",98.2,98.7,95.4,99.9
"Wausau-Weston, WI",89.1,95.8,71.6,91.3
"Weirton-Steubenville, WV-OH",84.1,95.4,51.9,92.9
"Wenatchee, WA",99.0,101.5,99.1,95.8
"Wheeling, WV-OH",85.0,97.5,54.3,94.6
"Wichita, KS",88.6,95.2,71.0,92.3
"Wichita Falls, TX",87.6,97.1,68.6,92.6
"Williamsport, PA",92.2,98.7,72.1,99.9
"Wilmington, NC",93.6,96.8,87.5,94.7
"Winchester, VA-WV",92.9,92.1,92.0,94.5
"Winston-Salem, NC",88.8,97.5,66.9,94.6
"Worcester, MA-CT",103.3,101.7,100.5,106.7
"Yakima, WA",93.5,96.3,76.9,102.0
"York-Hanover, PA",96.5,98.7,86.8,99.9
"Youngstown-Warren-Boardman, OH-PA",86.1,96.4,59.8,93.3
"Yuba City, CA",96.4,96.3,89.6,102.0
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
"Yuma, AZ",88.9,93.5,70.2,100.4
,,,,
Maximum ,131.6,115.1,221.3,120.7
Minimum,76.6,91.8,45.8,89.5
<<<<<<< HEAD
Range,55,23.3,175.5,31.2
=======
Range,55.0,23.3,175.5,31.2
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
Source: U.S. Bureau of Economic Analysis,,,,
1. The U.S. all items RPP is the average price level across all metropolitan areas and the U.S. nonmetropolitan portion.,,,,
